,Category,DayGrid,M+,M-,M-D,MD,MH,MN,PriceGrid,QtyGrid,QtyPriceFunction,SubsFactor,TimeFunction,Unnamed: 0
4613,326,NotUseDaysFactor,6.8710210604,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5251,326,30,4.5615105379,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5889,326,NotUseDaysFactor,4.5615105379,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6527,326,30,4.5615105379,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7165,326,NotUseDaysFactor,4.5615105379,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7803,326,30,21.3785031164,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8441,326,NotUseDaysFactor,21.3785031164,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9079,326,30,21.3785031164,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9717,326,NotUseDaysFactor,21.3785031164,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
148,327,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
786,327,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1424,327,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2062,327,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2700,327,30,2.0153482158,0,0,0.8,2,2,1,0,nonlinear,1.1,sigmoid,6
3338,327,NotUseDaysFactor,2.0153482158,0,0,0.8,2,2,1,0,nonlinear,1.1,sigmoid,6
3976,327,30,2.0153482158,0,0,0.8,2,2,1,0,nonlinear,2,sigmoid,6
4614,327,NotUseDaysFactor,2.0153482158,0,0,0.8,2,2,1,0,nonlinear,2,sigmoid,6
5252,327,30,3.1607142857,0,0,0.5,2,2,0,1,nonlinear,1.1,sigmoid,3
5890,327,NotUseDaysFactor,3.1607142857,0,0,0.5,2,2,0,1,nonlinear,1.1,sigmoid,3
6528,327,30,3.1607142857,0,0,0.5,2,2,0,1,nonlinear,2,sigmoid,3
7166,327,NotUseDaysFactor,3.1607142857,0,0,0.5,2,2,0,1,nonlinear,2,sigmoid,3
7804,327,30,8.4932531953,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8442,327,NotUseDaysFactor,8.4932531953,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9080,327,30,8.4932531953,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9718,327,NotUseDaysFactor,8.4932531953,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
149,328,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
787,328,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1425,328,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2063,328,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2701,328,30,1.2892882684,0,0,0.8,2,2,1,0,nonlinear,1.1,sigmoid,6
3339,328,NotUseDaysFactor,1.2892882684,0,0,0.8,2,2,1,0,nonlinear,1.1,sigmoid,6
3977,328,30,1.2892882684,0,0,0.8,2,2,1,0,nonlinear,2,sigmoid,6
4615,328,NotUseDaysFactor,1.2892882684,0,0,0.8,2,2,1,0,nonlinear,2,sigmoid,6
5253,328,30,6.633445946,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5891,328,NotUseDaysFactor,6.633445946,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6529,328,30,6.633445946,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7167,328,NotUseDaysFactor,6.633445946,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7805,328,30,10.4692570278,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8443,328,NotUseDaysFactor,10.4692570278,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9081,328,30,10.4692570278,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9719,328,NotUseDaysFactor,10.4692570278,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
150,329,30,0.7083333333,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
788,329,NotUseDaysFactor,0.7083333333,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1426,329,30,0.7083333333,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2064,329,NotUseDaysFactor,0.7083333333,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2702,329,30,4.7508578249,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3340,329,NotUseDaysFactor,4.7508578249,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3978,329,30,4.7508578249,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
4616,329,NotUseDaysFactor,4.7508578249,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
5254,329,30,5.6729117877,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5892,329,NotUseDaysFactor,5.6729117877,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6530,329,30,5.6729117877,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7168,329,NotUseDaysFactor,5.6729117877,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7806,329,30,14.3342444966,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8444,329,NotUseDaysFactor,14.3342444966,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9082,329,30,14.3342444966,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9720,329,NotUseDaysFactor,14.3342444966,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
151,331,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
789,331,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1427,331,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2065,331,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2703,331,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3341,331,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3979,331,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4617,331,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5255,331,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5893,331,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6531,331,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7169,331,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7807,331,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8445,331,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9083,331,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9721,331,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
152,332,30,0.6369047619,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
790,332,NotUseDaysFactor,0.6369047619,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1428,332,30,0.6369047619,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2066,332,NotUseDaysFactor,0.6369047619,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2704,332,30,3.6071428571,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3342,332,NotUseDaysFactor,3.6071428571,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3980,332,30,3.6071428571,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
4618,332,NotUseDaysFactor,3.6071428571,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
5256,332,30,1.3333982291,0,0,0.8,2,2,0,1,nonlinear,1.1,sigmoid,6
5894,332,NotUseDaysFactor,1.3333982291,0,0,0.8,2,2,0,1,nonlinear,1.1,sigmoid,6
6532,332,30,1.3333982291,0,0,0.8,2,2,0,1,nonlinear,2,sigmoid,6
7170,332,NotUseDaysFactor,1.3333982291,0,0,0.8,2,2,0,1,nonlinear,2,sigmoid,6
7808,332,30,9.2166760405,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8446,332,NotUseDaysFactor,9.2166760405,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9084,332,30,9.2166760405,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9722,332,NotUseDaysFactor,9.2166760405,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
153,333,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
791,333,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1429,333,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2067,333,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2705,333,30,6.4566533872,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3343,333,NotUseDaysFactor,6.4566533872,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3981,333,30,6.4566533872,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4619,333,NotUseDaysFactor,6.4566533872,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5257,333,30,5.4037572957,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5895,333,NotUseDaysFactor,5.4037572957,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6533,333,30,5.4037572957,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7171,333,NotUseDaysFactor,5.4037572957,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7809,333,30,47.0840383865,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8447,333,NotUseDaysFactor,47.0840383865,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9085,333,30,47.0840383865,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9723,333,NotUseDaysFactor,47.0840383865,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
154,334,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
792,334,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1430,334,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2068,334,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2706,334,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3344,334,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3982,334,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4620,334,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5258,334,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5896,334,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6534,334,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7172,334,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7810,334,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8448,334,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9086,334,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9724,334,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
155,336,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
793,336,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1431,336,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2069,336,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2707,336,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3345,336,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3983,336,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4621,336,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5259,336,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5897,336,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6535,336,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7173,336,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7811,336,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8449,336,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9087,336,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9725,336,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
156,337,30,0.5947145062,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
794,337,NotUseDaysFactor,0.5947145062,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1432,337,30,0.5947145062,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2070,337,NotUseDaysFactor,0.5947145062,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2708,337,30,5.1563623669,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3346,337,NotUseDaysFactor,5.1563623669,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3984,337,30,5.1563623669,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4622,337,NotUseDaysFactor,5.1563623669,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5260,337,30,4.3691522154,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5898,337,NotUseDaysFactor,4.3691522154,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6536,337,30,4.3691522154,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7174,337,NotUseDaysFactor,4.3691522154,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7812,337,30,42.8150386878,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8450,337,NotUseDaysFactor,42.8150386878,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9088,337,30,42.8150386878,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9726,337,NotUseDaysFactor,42.8150386878,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
157,338,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
795,338,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1433,338,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2071,338,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2709,338,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3347,338,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3985,338,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4623,338,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5261,338,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5899,338,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6537,338,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7175,338,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7813,338,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8451,338,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9089,338,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9727,338,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
158,339,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
796,339,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1434,339,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2072,339,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2710,339,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3348,339,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3986,339,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4624,339,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5262,339,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5900,339,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6538,339,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7176,339,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7814,339,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8452,339,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9090,339,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9728,339,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
159,340,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
797,340,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1435,340,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2073,340,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2711,340,30,1.7727934751,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3349,340,NotUseDaysFactor,1.7727934751,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3987,340,30,1.7727934751,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
4625,340,NotUseDaysFactor,1.7727934751,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
5263,340,30,5.2760448213,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5901,340,NotUseDaysFactor,5.2760448213,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6539,340,30,5.2760448213,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7177,340,NotUseDaysFactor,5.2760448213,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7815,340,30,10.7265345861,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8453,340,NotUseDaysFactor,10.7265345861,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9091,340,30,10.7265345861,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9729,340,NotUseDaysFactor,10.7265345861,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
160,341,30,0.7083333333,0.1666666667,0.1666666667,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
798,341,NotUseDaysFactor,0.7083333333,0.1666666667,0.1666666667,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1436,341,30,0.7083333333,0.1666666667,0.1666666667,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2074,341,NotUseDaysFactor,0.7083333333,0.1666666667,0.1666666667,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2712,341,30,4.1416338411,0.2222222222,0.0413039161,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3350,341,NotUseDaysFactor,4.1416338411,0.2222222222,0.0413039161,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3988,341,30,4.1416338411,0.2222222222,0.0413039161,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4626,341,NotUseDaysFactor,4.1416338411,0.2222222222,0.0413039161,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5264,341,30,4.25,0.1666666667,0.0277777778,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5902,341,NotUseDaysFactor,4.25,0.1666666667,0.0277777778,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6540,341,30,4.25,0.1666666667,0.0277777778,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7178,341,NotUseDaysFactor,4.25,0.1666666667,0.0277777778,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7816,341,30,21.6620393564,0.1666666667,0.0051629895,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8454,341,NotUseDaysFactor,21.6620393564,0.1666666667,0.0051629895,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9092,341,30,21.6620393564,0.1666666667,0.0051629895,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9730,341,NotUseDaysFactor,21.6620393564,0.1666666667,0.0051629895,0.2,2,2,1,1,nonlinear,2,sigmoid,0
161,342,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
799,342,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1437,342,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2075,342,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2713,342,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3351,342,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3989,342,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4627,342,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5265,342,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5903,342,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6541,342,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7179,342,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7817,342,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8455,342,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9093,342,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9731,342,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
162,343,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
800,343,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1438,343,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2076,343,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2714,343,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3352,343,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3990,343,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4628,343,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5266,343,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5904,343,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6542,343,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7180,343,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7818,343,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8456,343,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9094,343,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9732,343,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
163,345,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
801,345,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1439,345,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2077,345,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2715,345,30,3.706341566,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3353,345,NotUseDaysFactor,3.706341566,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3991,345,30,3.706341566,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
4629,345,NotUseDaysFactor,3.706341566,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
5267,345,30,4.125,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5905,345,NotUseDaysFactor,4.125,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6543,345,30,4.125,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7181,345,NotUseDaysFactor,4.125,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7819,345,30,20.384878613,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8457,345,NotUseDaysFactor,20.384878613,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9095,345,30,20.384878613,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9733,345,NotUseDaysFactor,20.384878613,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
164,347,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
802,347,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1440,347,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2078,347,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2716,347,30,4.8135451505,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3354,347,NotUseDaysFactor,4.8135451505,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3992,347,30,4.8135451505,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4630,347,NotUseDaysFactor,4.8135451505,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5268,347,30,6.8918918919,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5906,347,NotUseDaysFactor,6.8918918919,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6544,347,30,6.8918918919,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7182,347,NotUseDaysFactor,6.8918918919,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7820,347,30,44.2325770587,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8458,347,NotUseDaysFactor,44.2325770587,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
9096,347,30,44.2325770587,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
