,Category,DayGrid,M+,M-,M-D,MD,MH,MN,PriceGrid,QtyGrid,QtyPriceFunction,SubsFactor,TimeFunction,Unnamed: 0
642,5,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1280,5,30,1,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1918,5,NotUseDaysFactor,1,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2556,5,30,6.9664369954,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3194,5,NotUseDaysFactor,6.9664369954,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3832,5,30,9.5142015934,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4470,5,NotUseDaysFactor,9.5142015934,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5108,5,30,7.5,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5746,5,NotUseDaysFactor,7.5,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6384,5,30,10,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7022,5,NotUseDaysFactor,10,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7660,5,30,69.6643699539,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8298,5,NotUseDaysFactor,69.6643699539,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8936,5,30,95.1420159335,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9574,5,NotUseDaysFactor,95.1420159335,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
5,8,30,0.6408962944,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
643,8,NotUseDaysFactor,0.6408962944,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1281,8,30,1.5,0,0,0.5,2,2,0,0,nonlinear,2,sigmoid,3
1919,8,NotUseDaysFactor,1.5,0,0,0.5,2,2,0,0,nonlinear,2,sigmoid,3
2557,8,30,3.9204165039,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3195,8,NotUseDaysFactor,3.9204165039,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3833,8,30,4.0785031963,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4471,8,NotUseDaysFactor,4.0785031963,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5109,8,30,4.5675276691,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5747,8,NotUseDaysFactor,4.5675276691,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6385,8,30,4.7316104989,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7023,8,NotUseDaysFactor,4.7316104989,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7661,8,30,14.4641040311,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8299,8,NotUseDaysFactor,14.4641040311,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8937,8,30,14.8170705886,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9575,8,NotUseDaysFactor,14.8170705886,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
6,14,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
644,14,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1282,14,30,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1920,14,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2558,14,30,4.2058028363,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3196,14,NotUseDaysFactor,4.2058028363,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3834,14,30,4.2058028363,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4472,14,NotUseDaysFactor,4.2058028363,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5110,14,30,5.5714285714,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5748,14,NotUseDaysFactor,5.5714285714,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6386,14,30,5.5714285714,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7024,14,NotUseDaysFactor,5.5714285714,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7662,14,30,29.4272249966,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8300,14,NotUseDaysFactor,29.4272249966,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8938,14,30,29.4272249966,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9576,14,NotUseDaysFactor,29.4272249966,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
7,15,30,0.6875,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
645,15,NotUseDaysFactor,0.6875,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1283,15,30,0.6875,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1921,15,NotUseDaysFactor,0.6875,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2559,15,30,2.5616424879,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3197,15,NotUseDaysFactor,2.5616424879,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3835,15,30,2.5616424879,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
4473,15,NotUseDaysFactor,2.5616424879,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
5111,15,30,6.40625,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5749,15,NotUseDaysFactor,6.40625,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6387,15,30,6.40625,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7025,15,NotUseDaysFactor,6.40625,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7663,15,30,15.8745566303,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8301,15,NotUseDaysFactor,15.8745566303,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8939,15,30,15.8745566303,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9577,15,NotUseDaysFactor,15.8745566303,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
8,16,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
646,16,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1284,16,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1922,16,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2560,16,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3198,16,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3836,16,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4474,16,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5112,16,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5750,16,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6388,16,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7026,16,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7664,16,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8302,16,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8940,16,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9578,16,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9,17,30,0.712962963,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
647,17,NotUseDaysFactor,0.712962963,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1285,17,30,0.712962963,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1923,17,NotUseDaysFactor,0.712962963,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2561,17,30,5.2502240964,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3199,17,NotUseDaysFactor,5.2502240964,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3837,17,30,5.2502240964,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4475,17,NotUseDaysFactor,5.2502240964,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5113,17,30,3.708522957,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5751,17,NotUseDaysFactor,3.708522957,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6389,17,30,3.708522957,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7027,17,NotUseDaysFactor,3.708522957,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7665,17,30,16.5878793111,0,0,0.2,2,4,1,1,nonlinear,1.1,sigmoid,1
8303,17,NotUseDaysFactor,16.5878793111,0,0,0.2,2,4,1,1,nonlinear,1.1,sigmoid,1
8941,17,30,16.5878793111,0,0,0.2,2,4,1,1,nonlinear,2,sigmoid,1
9579,17,NotUseDaysFactor,16.5878793111,0,0,0.2,2,4,1,1,nonlinear,2,sigmoid,1
10,59,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
648,59,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1286,59,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1924,59,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2562,59,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3200,59,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3838,59,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4476,59,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5114,59,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5752,59,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6390,59,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7028,59,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7666,59,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8304,59,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8942,59,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9580,59,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
11,66,30,0.6666666667,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
649,66,NotUseDaysFactor,0.6666666667,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1287,66,30,0.6666666667,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1925,66,NotUseDaysFactor,0.6666666667,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2563,66,30,5.8218488306,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3201,66,NotUseDaysFactor,5.8218488306,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3839,66,30,5.8218488306,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4477,66,NotUseDaysFactor,5.8218488306,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5115,66,30,2.8095238095,0,0,0.5,2,2,0,1,nonlinear,1.1,sigmoid,3
5753,66,NotUseDaysFactor,2.8095238095,0,0,0.5,2,2,0,1,nonlinear,1.1,sigmoid,3
6391,66,30,2.8095238095,0,0,0.5,2,2,0,1,nonlinear,2,sigmoid,3
7029,66,NotUseDaysFactor,2.8095238095,0,0,0.5,2,2,0,1,nonlinear,2,sigmoid,3
7667,66,30,24.5349343577,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8305,66,NotUseDaysFactor,24.5349343577,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8943,66,30,24.5349343577,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9581,66,NotUseDaysFactor,24.5349343577,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
12,67,30,0.6481481481,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
650,67,NotUseDaysFactor,0.6481481481,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1288,67,30,0.6481481481,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1926,67,NotUseDaysFactor,0.6481481481,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2564,67,30,2.7268518519,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3202,67,NotUseDaysFactor,2.7268518519,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3840,67,30,2.7268518519,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4478,67,NotUseDaysFactor,2.7268518519,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5116,67,30,4.3266594517,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5754,67,NotUseDaysFactor,4.3266594517,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6392,67,30,4.3266594517,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7030,67,NotUseDaysFactor,4.3266594517,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7668,67,30,14.4133597884,0,0,0.2,2,4,1,1,nonlinear,1.1,sigmoid,1
8306,67,NotUseDaysFactor,14.4133597884,0,0,0.2,2,4,1,1,nonlinear,1.1,sigmoid,1
8944,67,30,14.4133597884,0,0,0.2,2,4,1,1,nonlinear,2,sigmoid,1
9582,67,NotUseDaysFactor,14.4133597884,0,0,0.2,2,4,1,1,nonlinear,2,sigmoid,1
13,68,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
651,68,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1289,68,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1927,68,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2565,68,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3203,68,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3841,68,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4479,68,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5117,68,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5755,68,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6393,68,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7031,68,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7669,68,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8307,68,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8945,68,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9583,68,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
14,70,30,0.5151515152,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
652,70,NotUseDaysFactor,0.5151515152,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1290,70,30,0.5151515152,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1928,70,NotUseDaysFactor,0.5151515152,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2566,70,30,0.6819271855,0,0,0.8,2,2,1,0,nonlinear,1.1,sigmoid,6
3204,70,NotUseDaysFactor,0.6819271855,0,0,0.8,2,2,1,0,nonlinear,1.1,sigmoid,6
3842,70,30,0.6819271855,0,0,0.8,2,2,1,0,nonlinear,2,sigmoid,6
4480,70,NotUseDaysFactor,0.6819271855,0,0,0.8,2,2,1,0,nonlinear,2,sigmoid,6
5118,70,30,1.4810606061,0,0,0.5,2,2,0,1,nonlinear,1.1,sigmoid,3
5756,70,NotUseDaysFactor,1.4810606061,0,0,0.5,2,2,0,1,nonlinear,1.1,sigmoid,3
6394,70,30,1.4810606061,0,0,0.5,2,2,0,1,nonlinear,2,sigmoid,3
7032,70,NotUseDaysFactor,1.4810606061,0,0,0.5,2,2,0,1,nonlinear,2,sigmoid,3
7670,70,30,1.9605406584,0,0,0.5,2,2,1,1,nonlinear,1.1,sigmoid,3
8308,70,NotUseDaysFactor,1.9605406584,0,0,0.5,2,2,1,1,nonlinear,1.1,sigmoid,3
8946,70,30,1.9605406584,0,0,0.5,2,2,1,1,nonlinear,2,sigmoid,3
9584,70,NotUseDaysFactor,1.9605406584,0,0,0.5,2,2,1,1,nonlinear,2,sigmoid,3
