,Category,M+,M-,M-D,MD,MH,MN,TimeFunction,QtyGrid,PriceGrid,QtyPriceFunction,DayGrid,SubsFactor
18,4,8.7852538794,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,1.1
19,4,5.8779036387,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,1.1
20,4,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,1.1
21,4,8.7852538794,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,1.1
22,4,5.8779036387,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,1.1
23,4,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,1.1
0,5,69.6643699539,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,1.1
1,5,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,1.1
2,5,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,1.1
3,5,69.6643699539,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,1.1
4,5,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,1.1
5,5,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,1.1
6,5,69.6643699539,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,1.1
7,5,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,1.1
8,5,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,1.1
9,5,69.6643699539,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,1.1
10,5,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,1.1
11,5,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,1.1
12,5,69.6643699539,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,1.1
13,5,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,1.1
14,5,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,1.1
15,5,69.6643699539,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,1.1
16,5,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,1.1
17,5,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,1.1
18,5,69.6643699539,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,1.1
19,5,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,1.1
20,5,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,1.1
21,5,69.6643699539,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,1.1
22,5,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,1.1
23,5,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,1.1
0,8,14.4641040311,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,1.1
1,8,12.7101653108,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,1.1
2,8,13.2481020562,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,1.1
3,8,14.4641040311,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,1.1
4,8,12.7101653108,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,1.1
5,8,13.2481020562,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,1.1
6,8,14.4641040311,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,1.1
7,8,12.7101653108,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,1.1
8,8,13.2481020562,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,1.1
9,8,14.4641040311,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,1.1
10,8,12.7101653108,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,1.1
11,8,13.2481020562,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,1.1
12,8,14.4641040311,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,1.1
13,8,12.7101653108,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,1.1
14,8,13.2481020562,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,1.1
15,8,14.4641040311,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,1.1
16,8,12.7101653108,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,1.1
17,8,13.2481020562,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,1.1
18,8,14.4641040311,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,1.1
19,8,12.7101653108,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,1.1
20,8,13.2481020562,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,1.1
21,8,14.4641040311,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,1.1
